Time (hours),Sum of Glucose,Batch
2.9847916667349637,7.039999961853027,20221115_0832_BR-1210
2.997499999939464,7.13,20240306_0847_BR-1210
3.0056250000488944,7.100000381469727,20221117_0815_BR-1210
3.008402777777519,7.100000381469727,20230111_0653_BR-1210
3.0097916666418314,6.829999923706055,20231023_1358_BR-1210
3.03055555553874,6.75,20230615_0848_BR-1210
3.0361805554130115,7.159999847412109,GP_241009_BR1210
3.0379177778377198,7.210000038146973,GP_240702_BR1210
3.041944444470573,6.67,20230524_0902_BR-1210
3.0584038888919167,7.259999752044678,20230824_0925_BR-1210
3.168124722142238,8.149999618530273,20240502_0858_BR-1210
3.594029166677501,6.460000038146973,GC_240730_BR1210
3.7390274999197572,6.78000020980835,20240516_0838_BR-1210
3.7461111110751517,6.15,20230524_0902_BR-1210
3.8070833333185874,6.53000020980835,20230504_0839_BR-1210
3.8833333334187046,7.06,20240111_0851_BR-1210
3.886249722156208,6.730000019073486,20221117_0815_BR-1210
3.9625691666733474,6.139999866485596,20230307_0737_BR-1210
3.968124999955762,6.340000152587891,20231023_1358_BR-1210
3.9793063889374025,6.350000381469727,20230824_0925_BR-1210
3.987638888822403,6.650000095367432,20221028_0906_BR-1210
4.013958333351184,6.650000095367432,20230111_0653_BR-1210
4.019444444391411,6.13,20230615_0848_BR-1210
4.03763916681055,6.760000228881836,20230518_0856_BR-1210
4.04472222214099,6.74,20240306_0847_BR-1210
4.091945833351929,6.789999961853027,GC_240625_BR1210
4.138958055409603,6.949999809265137,20240502_0858_BR-1210
4.148750277876388,5.809999942779541,GP_241022_BR1210
4.176876388897654,6.239999771118164,GP_240702_BR1210
4.180694444454275,6.03000020980835,GP_241009_BR1210
4.26354333339259,5.699999809265137,GC_240730_BR1210
4.479305555520114,5.75,20230504_0839_BR-1210
4.532083888887428,5.650000095367432,20221117_0815_BR-1210
4.766321111179423,4.75,GC_240730_BR1210
4.8086122222593985,5.730000019073486,GC_240625_BR1210
4.870833333407063,5.35,20240111_0851_BR-1210
4.884861111058854,4.489999771118164,GP_241022_BR1210
4.890416944515891,6.599999904632568,20230518_0856_BR-1210
4.8987499998766,4.579999923706055,20240516_0838_BR-1210
4.936181111144833,4.789999961853027,20221115_0832_BR-1210
4.943194444407709,4.820000171661377,20230307_0737_BR-1210
4.950138611078728,4.510000228881836,GP_241009_BR1210
4.977916666539386,5.760000228881836,20221028_0906_BR-1210
4.977916666539386,4.429999828338623,20231023_1358_BR-1210
4.98638888890855,4.46,20240306_0847_BR-1210
5.0001386110670865,5.119999885559082,20240502_0858_BR-1210
5.0088208334636874,4.75,GP_240702_BR1210
5.009722222108394,4.39,20230615_0848_BR-1210
